2021 super output area - lower layer,Very good health,Good health,Fair health,Bad health,Very bad health,
E01033747 : Liverpool 018F,47.8,27.1,16.0,7.0,2.1,
E01006545 : Liverpool 019A,46.1,33.0,12.7,6.0,2.2,
E01006546 : Liverpool 019B,48.7,29.6,13.7,6.6,1.5,
E01006547 : Liverpool 019C,48.4,30.6,12.3,6.4,2.3,
E01006548 : Liverpool 019D,44.5,34.4,14.5,4.7,1.9,
E01006766 : Liverpool 019E,44.5,32.8,14.2,6.3,2.3,
E01006767 : Liverpool 019F,47.1,31.8,12.5,5.9,2.6,
E01006606 : Liverpool 020A,47.0,29.6,14.5,6.7,2.2,
E01006761 : Liverpool 020B,39.1,30.9,17.8,7.5,4.8,
E01006763 : Liverpool 020C,45.2,31.4,15.4,5.7,2.3,
E01006764 : Liverpool 020D,42.2,31.5,17.9,6.9,1.5,
E01006765 : Liverpool 020E,45.5,31.3,14.6,5.5,3.0,
E01006768 : Liverpool 020F,45.9,33.0,14.2,5.1,1.8,
E01006617 : Liverpool 021A,47.7,31.4,12.5,6.4,1.9,
E01006619 : Liverpool 021B,53.0,30.2,11.5,4.3,1.0,
E01006620 : Liverpool 021C,48.4,28.2,15.3,6.4,1.7,
E01006621 : Liverpool 021D,53.7,29.6,12.2,3.4,1.1,
E01006622 : Liverpool 021E,53.0,32.3,10.6,3.3,0.8,
E01006640 : Liverpool 021F,52.1,30.5,11.8,4.1,1.5,
E01006776 : Liverpool 022B,43.8,29.6,16.5,7.1,2.9,
E01006779 : Liverpool 022D,41.0,26.7,16.9,11.5,3.9,
E01034398 : Liverpool 022F,50.8,26.4,14.3,6.7,1.8,
E01034399 : Liverpool 022G,41.7,28.1,16.3,10.6,3.3,
E01034400 : Liverpool 022H,40.0,28.0,18.2,11.0,2.8,
E01006560 : Liverpool 023A,36.0,30.8,18.3,10.4,4.6,
E01006564 : Liverpool 023B,40.0,31.4,15.9,9.5,3.2,
E01006646 : Liverpool 023C,43.6,27.1,14.9,9.7,4.8,
E01006648 : Liverpool 023D,42.3,30.7,15.8,7.6,3.7,
E01006540 : Liverpool 024A,43.5,29.1,17.6,7.6,2.2,
E01006563 : Liverpool 024B,35.6,29.4,18.6,11.3,5.1,
E01006647 : Liverpool 024C,47.7,25.8,14.3,8.6,3.6,
E01006693 : Liverpool 024D,36.0,30.7,19.3,9.9,4.1,
E01006572 : Liverpool 025A,43.1,30.6,15.3,8.1,2.9,
E01006574 : Liverpool 025B,43.0,29.0,17.7,8.2,2.1,
E01006641 : Liverpool 025C,48.1,32.2,13.2,5.1,1.4,
E01006642 : Liverpool 025D,45.7,28.3,16.2,7.8,2.0,
E01006643 : Liverpool 025E,46.8,32.1,11.9,7.0,2.3,
E01006567 : Liverpool 026A,38.1,30.6,17.4,10.6,3.3,
E01006568 : Liverpool 026B,44.7,29.9,15.5,6.6,3.2,
E01006570 : Liverpool 026C,52.4,30.4,11.8,3.9,1.5,
E01006571 : Liverpool 026D,40.7,28.8,19.4,8.5,2.6,
E01006711 : Liverpool 027A,47.1,29.4,13.5,8.7,1.3,
