Local authority code,Local authority name,LSOA code,LSOA name,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022,Year ending Dec 2022
E08000012,Liverpool,E01006692,Liverpool 028B,"23,266","21,590","22,651","22,923","23,442","24,683","25,266","24,297","23,094","21,432","21,555","22,586","23,319","23,211","24,582","23,309","25,686","27,177","27,493","25,080","23,071","23,219","23,614","26,246","26,360","27,764","28,154","30,147","30,095","29,650","29,809","31,731","35,777","43,148","48,920","56,903","62,668","67,532","71,904","73,422","81,020","77,429","77,363","80,419","77,370","82,275","86,177","81,848","88,702","91,123","93,264","98,766","100,668","99,258","97,636","86,578","80,363","93,703","92,215","101,390","96,048","89,998","88,834","72,605","72,472","62,995","61,940","72,645","75,678","87,910","94,188","79,292","80,464","92,031","89,805","87,500","82,425","71,056","70,342","73,500","77,529","73,815","73,871","99,999","118,887","128,950","141,080","142,828","147,269","152,781","146,868","141,038","131,676","115,260","105,171","108,690","107,057","104,176","106,708","97,833","105,048","110,737","112,377","116,690","130,143","134,977","132,500","134,037","134,383"
E08000012,Liverpool,E01006693,Liverpool 024D,"22,475","19,408","19,518","20,800","21,775","25,408","25,079","24,929","22,500","18,400","21,045","22,996","22,663","24,177","27,190","25,900","28,875","30,094","27,156","29,278","28,594","32,625","35,225","32,631","32,662","26,538","27,671","30,638","30,609","33,815","32,768","32,421","33,243","30,468","40,038","45,457","57,873","61,085","62,859","70,226","67,886","68,515","75,170","71,278","63,579","63,933","65,174","63,976","71,266","79,678","79,716","84,346","93,769","88,154","83,917","86,321","73,200","71,333","72,545","62,214","63,800",:,:,:,"46,840","71,245","71,609","70,808","76,350","52,500","55,750","68,750","70,924","70,152","67,660","65,577","75,826","79,842","91,222","95,125",:,"74,300","59,563","59,611","63,674","67,000","70,222","69,353","80,740","81,140","81,957","75,671","75,400","85,800","93,286","107,286","95,556","80,056","59,833","44,000","59,400","85,778","101,528","101,146","106,521","112,111","115,900","110,250","109,917"
E08000012,Liverpool,E01006694,Liverpool 030B,"18,990","19,642","20,155","21,083","20,593","20,468","19,900","19,770","20,380","20,620","21,364","20,681","21,434","21,125","20,088","20,349","18,781","18,814","18,057","18,439","18,241","17,676","18,993","18,945","20,319","20,241","20,608","20,534","20,672","20,643","21,375","23,477","25,888","29,661","38,500","43,291","50,554","53,560","52,342","55,839","65,818","68,688","73,469","74,087","67,826","69,539","70,130","71,359","74,240","75,848","73,122","74,755","71,890","69,186","71,290","66,304","57,661","53,000","55,542","56,000","61,538","60,615","55,533","51,188","47,029","50,000","53,083","55,859","59,479","54,554","50,719","51,684","53,083","54,543","56,068","55,593","53,468","51,625","54,500","53,184","58,389","60,380","60,500","64,225","55,318","51,361","49,254","48,292","50,833","53,104","52,998","51,521","52,179","52,293","54,679","66,354","70,419","75,274","78,222","71,929","71,845","73,810","77,289","93,977","95,533","101,705","98,730","90,789","92,500"
E08000012,Liverpool,E01006695,Liverpool 028C,"32,680","34,250","35,732","37,600","35,466","33,961","35,264","32,356","34,671","30,347","29,939","28,434","27,968","30,432","32,431","34,661","35,608","36,612","36,338","39,109","37,359","39,773","40,715","39,504","42,400","39,317","37,515","40,879","43,036","45,207","47,896","56,048","60,606","74,576","85,882","98,654","115,624","119,410","126,916","116,968","107,187","108,360","97,348","133,098","154,352","166,589","173,459","161,529","157,900","151,050","129,600","111,419","104,768","94,383","99,833","97,056","88,944","81,938",:,:,"96,490","96,490","91,492","86,100",:,:,:,"113,192","109,033","105,075","110,494","110,944","92,375","138,250","122,324","117,735","123,219","68,453","72,813","84,983","92,010","103,867","107,265","113,800","124,917","122,250","115,346","109,042","99,077","110,182","128,722","127,938","139,750","125,205","120,114","120,925","107,750","116,333","108,800","108,800","149,014","158,638","148,327","155,675","139,545","133,000","146,350","141,750","152,750"
E08000012,Liverpool,E01006696,Liverpool 030C,"21,448","23,143","23,759","25,459","25,021","23,762","24,138","26,875","27,481","28,789","27,005","25,814","25,587","25,173","27,318","29,974","34,662","36,584","38,411","36,796","35,970","34,287","21,972","22,021","23,450","23,722","28,470","27,347","25,197","24,221","27,166","29,877","31,460","34,602","39,650","46,743","56,134","60,120","67,468","71,099","71,879","73,374","70,302","73,940","77,565","78,862","80,232","81,570","82,089","82,356","80,719","77,343","79,127","80,047","92,832","98,525","104,955","97,150","86,089","92,484","83,344","91,878","94,788","88,213","90,249","86,357","87,980","81,610","80,971","75,674","71,289","64,119","61,952","55,639","56,725","57,875","56,615","61,821","65,430","64,732","67,287","67,218","62,045","68,157","70,791","74,835","73,245","76,132","79,830","81,818","87,556","90,636","97,107","84,950","91,426","85,946","80,646","86,275","77,859","96,575","87,250","92,250","100,038","102,893","140,056","135,364","140,297","139,970","138,953"
E08000012,Liverpool,E01006697,Liverpool 030D,"21,547","20,711","19,388","18,712","20,098","20,644","21,769","22,186","21,022","20,194","20,045","19,269","19,213","18,463","17,689","18,456","17,996","19,152","19,718","18,063","20,850","20,819","20,632","22,939","20,918","20,867","21,104","21,891","22,599","22,899","23,644","24,348","27,424","32,634","38,031","44,859","50,245","56,547","59,649","61,664","63,266","64,287","64,958","65,977","68,340","69,853","71,374","74,477","73,029","73,032","72,807","69,556","68,059","63,163","60,303","59,966","48,828","62,828","59,684","59,184","61,875","57,798","58,361","55,754","53,039","52,125","56,466","55,747","54,524","51,771","47,597","47,663","51,013","57,337","61,955","63,348","58,241","58,335","55,676","60,001","64,921","63,415","66,400","64,399","65,501","66,479","72,619","78,541","85,043","89,855","90,056","85,304","85,674","94,050","89,400","93,175","93,438","90,469","88,098","98,997","107,902","104,293","114,187","108,678","103,691","109,503","112,556","107,750","110,714"
E08000012,Liverpool,E01006698,Liverpool 012D,"27,915","30,719","29,011","28,749","29,355","27,000","29,500","28,523","28,222","27,731","25,297","28,719","28,813","30,079","34,893","30,209","33,504","32,129","30,537","31,388","29,889","30,333","29,410","31,177","31,020","31,800","33,601","32,973","32,932","33,050","36,620","37,439","41,260","45,211","47,166","56,957","61,797","64,322","69,939","71,155","68,829","73,592","76,484","79,640","82,971","81,646","84,266","88,401","95,188","98,715","96,584","95,270","89,684","81,400","79,208","74,871","79,994","76,359","73,815","77,700","68,150","66,166","68,159","61,710","59,637","58,813","47,056","47,025","53,578","56,525","58,775","60,750","58,818","57,813","54,605","52,833","51,719","52,607","58,633","57,125","64,875","63,932","60,500","63,591","59,139","59,719","63,792","64,406","66,048","65,978","67,420","67,583","68,333","69,375","69,792","71,385","70,111","74,318","77,346","76,767","77,875","81,525","80,816","91,614","99,891","101,023","106,318","107,260","107,150"
E08000012,Liverpool,E01006699,Liverpool 014A,"23,769","23,754","26,040","23,624","25,333","24,050","22,531","23,283","18,880","18,517","19,600","20,563","22,714","22,885","20,806","17,600",:,:,:,:,"22,000",:,"27,417","27,582","26,913","26,121","26,612","25,511","25,752","26,630","26,493","27,824","30,242","31,729","33,350","38,304","43,359","49,817","56,626","59,734","59,746","73,295","74,913","73,761","73,276","63,780","64,626","70,993","80,504","90,956","93,333","96,628","77,485","63,952","71,134","65,852","63,075","62,119","51,707","53,083","58,636","58,500","62,595","66,106",:,"54,939","50,357","42,143","41,667","52,111","52,111","53,450","53,450","49,214","46,050","48,055","48,055","44,000",:,"52,667","46,444","50,278","50,278","47,150","58,938","60,071","57,350","61,143","51,333","50,063","49,250","49,279",:,:,"51,190","60,400","58,688","63,400","68,636","68,500","74,400","72,227","81,625","82,143","86,780","95,975","83,325","85,483","86,568"
E08000012,Liverpool,E01006700,Liverpool 012E,"23,991","23,294","22,939","25,297","25,341","26,113","27,061","26,615","25,756","24,667","24,159","24,406","25,451","27,895","31,142","30,953","30,437","27,996","24,129","23,694","24,600","25,086","30,871","32,176","31,000","29,968","23,125","24,567","26,226","27,391","31,642","33,114","36,354","37,680","41,960","50,762","54,254","59,688","71,207","71,303","72,482","74,727","69,750","72,094","79,828","79,234","82,382","83,282","80,826","80,548","85,111","79,077","72,962","72,125","69,721","69,610","57,720",:,:,:,"68,625","65,250","69,718","69,718","64,772","63,700","56,778","55,300","47,625","51,250","49,955","51,708","49,447","47,844","48,333","46,700","54,700","49,929","46,417","48,714","47,813","47,944","48,150","50,308","53,727","58,153","58,178","57,577","54,464","53,769","53,192","57,235","58,083","60,221","60,832","61,856","67,960","68,645","67,995","65,806","80,700","83,250","93,981","92,550","87,079","92,417","87,446","86,850","90,375"
E08000012,Liverpool,E01006701,Liverpool 014B,"32,338","32,356","31,456","30,536","29,545","27,935","27,873","22,925","28,387","30,272","33,440","33,352","31,027","35,872","32,981","43,713","36,625","23,375","21,209","24,250","30,145","32,118","29,852","29,871","31,450","32,666","37,073","37,747","35,430","34,090","34,213","33,590","42,498","50,136","51,737","56,095","57,581","59,257","64,998","63,626","61,536","60,389","59,534","60,280","68,770","72,226","73,185","79,445","75,821","77,970","76,624","72,244","66,907","62,893","61,755","60,429","61,550","61,917","71,063","71,571","69,286","70,167","85,306","81,496","84,804","86,367","81,418","80,409","72,000","65,000","61,999","69,856","63,624","65,666","82,571","74,845","78,937","78,499","72,406","74,541","67,318","63,143","70,067","64,063","67,267","71,000","58,700","64,889","62,132","60,494","68,133","77,975","86,865","87,553","99,884","93,375","85,100","85,000","75,714","77,929","86,600","91,313","97,866","111,808","117,914","121,146","122,929","117,885","116,389"
