Local authority code,Local authority name,LSOA code,LSOA name,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021,Year ending Sep 2021,Year ending Dec 2021,Year ending Mar 2022,Year ending Jun 2022,Year ending Sep 2022,Year ending Dec 2022
E08000012,Liverpool,E01006512,Liverpool 031A,"43,139","47,100","32,532","33,814","33,376","33,352","34,162","37,941","38,313","39,439","39,470","37,981","37,018","37,215","37,678","38,261","42,039","41,227","39,858","40,000","38,031","37,453","39,305","37,583","38,444","40,353","38,547","40,712","44,362","46,527","51,171","71,491","86,506","93,355","98,117","105,323","110,073","110,495","105,251","98,960","103,608","111,664","113,767","112,625","112,229","108,631","104,226","103,510","103,094","103,409","102,778","102,969","100,900","99,438",:,:,"122,800","119,000","101,444","100,121","89,768","91,150","96,905","99,143","98,438","91,857","93,250","87,545","80,650","89,227","85,875","85,292","87,115","79,385","86,464","87,194","82,775","81,837","81,781","84,318","88,876","88,998","92,629","91,588","90,792","96,070","88,634","88,329","94,592","93,113","99,263","98,826","98,376","100,985","101,412","108,846","112,332","109,841","109,950","114,778","122,308","123,300","122,967","116,088","115,075","122,158","119,826","119,900","120,385"
E08000012,Liverpool,E01006513,Liverpool 060A,"36,200",:,"84,240",:,"114,867","81,500","75,167","73,400","53,813","53,813","65,594","71,143","72,357","68,313","75,208",:,:,:,"101,500","97,100","90,020","203,620","205,922","222,467","174,072","101,216","97,921","106,113","104,006","141,102","124,602","125,094","131,026","131,556","131,970","131,646","139,365","140,411","147,387","162,026","149,039","138,868","148,286","152,227","157,652","161,223","171,603","178,308","205,789","213,705","213,633","219,129","197,549","200,221","203,646","210,416","208,761","210,635","193,492","164,001","176,656","155,594","156,273","172,286","237,125","276,321","273,167","259,942","197,759","161,608","157,992","145,831","139,923","130,367","121,441","92,818","220,464","261,239","289,698","293,319","188,917","170,286","174,066","186,085","190,724","177,836","150,512","132,376","135,376","149,808","168,087","168,483","177,283","167,824","145,324","145,503","147,470","152,282","175,350","180,571","160,790","214,822","235,233","218,291","220,832","193,900","176,141","217,128","209,664"
E08000012,Liverpool,E01006514,Liverpool 037A,"47,333","39,833","29,667","40,440","38,054","40,747","40,573","38,596","48,033","51,080","56,833","62,963","63,881","68,607","63,417","70,215","74,513","70,342","68,452","69,248","57,523","63,742","79,440","98,131","116,931","117,363","114,934","94,855","102,775","110,355","113,563","135,050","130,950","131,409","160,139","150,193","196,317","192,106","175,185","247,408","279,915","269,885","284,404","266,181",:,:,"275,606","246,082","226,403","217,308","192,026","175,329","148,249","169,428","186,800","200,800","225,800",:,"144,400","150,917","143,300","143,250","147,993","148,806","147,207","147,908",:,:,:,:,"298,571","298,571","261,900",:,:,"140,233","216,667","219,286","352,900","457,909","428,941","455,348","443,632","426,000","445,663","429,619","401,900","364,438","346,183","329,827","366,000","405,500","424,773","400,625","370,450","301,396","256,393","239,300","242,825","271,881",:,"427,255","355,398","336,346","336,346","333,458","543,875","703,000","625,714"
E08000012,Liverpool,E01006515,Liverpool 037B,"35,381","36,111","37,234","38,129","39,427","40,329",:,"44,800","34,875","34,875","30,939","30,939","29,408","29,493","29,429","31,689","35,570","38,165","40,815","43,745","46,322","56,550","56,673","53,286","54,761","53,688","53,646","60,879","66,475","82,437","81,444","85,037","103,260","107,422","117,150","120,776","117,895","117,895","117,667","112,250","113,429","113,222","114,146","107,569","111,868","114,041","111,063","110,824","104,267","100,338","99,321","91,643",:,:,:,:,:,:,:,:,:,:,:,:,:,"84,417",:,:,:,:,:,:,:,"74,467","74,595","68,086","74,228","76,517","73,235","80,654","76,748","81,326","104,114","70,296","70,706","66,366","67,026","65,770","65,963","81,794","117,819","117,065","115,606","116,865","113,027","86,717","81,237","80,705","79,721","80,222","112,125","114,425","114,371","132,708","135,840","136,922","139,232","139,534","143,324"
E08000012,Liverpool,E01006518,Liverpool 044A,"27,388","25,517","23,500","24,681","24,384","24,130","22,204","22,509","24,536","25,471","32,223","33,442","30,500","31,092","31,397","30,123","32,398","31,685","30,871","30,174","27,965","26,940","25,150","28,250","27,603","29,275","31,457","29,952","30,990","30,332","29,428","32,077","35,364","38,765","43,373","57,420","63,698","64,425","72,999","63,625","68,893","74,167","68,550","73,267","74,824","75,412","81,016","87,728","86,045","87,918","87,982","77,717","79,156",:,:,"58,400","62,042","64,969","72,107","73,536","70,300",:,"85,690","78,890","78,890","77,408","72,000",:,"77,390","70,325","60,825","68,279","61,000","63,125","65,850","55,190",:,"78,883","82,892","79,669","80,354","76,875","72,481","77,150","75,401","71,558","73,654","70,698","72,759","78,185","79,115","81,462","78,208","76,000","75,350","72,250","79,313","84,500","94,313","94,643","106,500","95,417",:,"98,250","97,875","107,575","113,099","117,313","116,337"
E08000012,Liverpool,E01006519,Liverpool 056A,"63,817","64,480","65,264","63,533","65,148","64,613","63,441","63,768","65,869","66,438","68,720","71,689","73,470","69,910","72,661","71,726","74,862","76,695","86,916","98,424","99,509","99,326","94,311","94,165","96,217","106,393","111,532","135,544","148,574","160,391","166,215","168,371","173,313","173,248","185,285","192,254","194,108","196,070","190,170","192,867","201,857","197,158","211,618","215,567","217,067","228,037","224,768","242,087","251,915","262,069","265,972","257,571","253,745","265,742",:,"234,336","224,264","222,993","227,600","224,345","226,630","238,880","231,319","228,982","221,667","201,267","206,053","204,582","198,967","198,161","195,375","205,656","215,750","218,767","235,056","243,076","251,659","256,882","254,697","255,953","264,845","293,823","290,685","290,568","293,714","258,618","262,722","268,497","270,333","284,706","284,139","280,143","273,831","259,798","262,208","268,563","271,300","303,118","315,430","334,992","350,067","361,311","364,470","375,121","383,150","383,763","401,315","393,931","394,636"
E08000012,Liverpool,E01006520,Liverpool 043A,"40,090","42,005","42,190","42,284","52,168","56,674","53,565","56,258","49,933","51,115","56,181","53,397","53,692","48,104","45,593","52,616","56,186","56,578","58,009","52,734","51,569","52,969","62,072","75,225","80,182","88,705","87,963","98,177","93,676","91,738","95,135","89,649","98,581","127,040","130,446","141,909","158,328","146,679","154,935","168,792","177,971","183,105","190,351","173,069","158,879","151,024","160,137","160,093","168,441","192,176","187,457","204,210","224,000","188,682","190,234","194,710","178,245","183,095","187,909","182,864","169,000","179,300","161,889","148,207","151,658","111,619","106,707","122,428","126,749","135,450","136,577","154,235","155,770","148,021","152,477","136,336","122,884","121,889","115,475","124,363","123,497","111,817","109,854","107,852","111,416","130,485","124,065","134,781","142,129","139,552","144,743","136,419","122,719","132,538","131,175","137,419","154,576","153,529","168,024","162,716","166,955","170,313","178,690","188,613","179,984","179,474","171,967","158,530","155,285"
E08000012,Liverpool,E01006521,Liverpool 052A,"84,274","82,755","87,991","80,729","76,754","73,708","73,019","87,638","88,705","91,726","94,196","91,730","96,650","90,418","101,853","124,506","124,148","131,521","126,981","103,785","115,176","120,964","130,286","126,867","120,236","123,676","119,623","139,832","152,813","158,778","156,228","161,802","160,269","154,483","165,146","184,747","195,882","198,775","202,929","194,853","211,279","235,344","235,742","242,973","231,669","236,946","230,594","213,397","229,032","224,650","230,485","229,590","221,844","189,462","178,715","180,033","176,659","188,209","191,045","196,685","211,788","220,152","242,579","228,950","204,006","203,538","173,624","185,460","171,727","163,421","162,321","190,418","196,038","209,170","223,944","194,009","193,448","186,827","175,360","176,902","196,791","197,913","210,582","232,208","217,985","231,913","232,767","211,638","201,331","209,589","215,527","225,448","238,270","231,500","221,554","231,074","227,000","247,004","255,386","271,506","275,386","263,596","281,270","253,828","267,672","278,665","272,003","333,022","311,737"
E08000012,Liverpool,E01006522,Liverpool 048A,"41,594","47,156","42,105","40,847","39,136","38,861","44,600","62,557","63,922","63,179","62,372","52,676","55,970","57,596","58,512","60,246","56,954","56,197","54,952","52,617","55,854","63,443","67,548","74,257","76,641","75,123","84,455","82,209","94,592","102,556","109,865","124,111","128,570","145,116","156,133","171,406","197,086","178,117","163,274","157,368","144,953","141,095","165,312","179,940","191,020","200,259","172,276","165,910","166,641","189,916","197,934","198,406","209,172","145,700","151,627","146,250","136,240","133,257","129,684","133,443","124,620","132,343","133,050","145,174","143,638","135,070","146,203","121,268","114,773","119,873","116,053","151,909","154,937","172,476","168,121","148,435","142,678","139,040","134,768","133,083","153,231","162,769","172,074","172,630","139,009","132,182","128,885","139,069","152,103","148,997","149,454","164,743","163,360","165,716","176,034","169,755","163,374","174,700","167,741","161,138","168,073","149,138","164,660","169,346","177,418","191,770","182,404","185,900","183,162"
E08000012,Liverpool,E01006523,Liverpool 052B,"38,535","42,842","44,899","44,864","43,508","39,660","41,258","47,600","47,510","48,210","46,080","47,004","49,058","49,550","60,291","57,320","55,400","61,816","62,280","68,251","69,995","75,766","78,490","76,373","76,052","74,841","80,029","84,329","98,597","109,940","119,647","142,575","158,363","161,924","165,535","164,653","144,229","151,782","180,362","171,244","182,867","180,179","169,724","178,138","171,342","180,245","180,520","192,553","198,113","193,602","187,271","169,938","134,687","153,617","159,028","169,784","156,627","148,444","149,583","146,682","160,841","166,175","164,273","180,944","172,821","167,813","177,458","163,833","164,929","186,962","197,893","196,688","204,809","201,047","184,216","189,431","192,367","184,683","186,695","184,255","184,076","185,887","199,498","211,386","201,445","207,136","211,904","206,791","217,777","228,572","217,368","217,607","206,100","193,821","193,019","196,654","195,525","207,350","200,000","208,765","232,046","238,831","238,120","235,748","224,114","212,815","228,273","233,150","236,998"
E08000012,Liverpool,E01006524,Liverpool 048B,"75,461","46,950","47,982","67,364","62,300","63,950","67,978","59,211","73,603","77,213","70,853","64,960","55,813","55,129","47,698","73,245","111,050","105,677","124,181","115,767","77,638","75,200","89,902","92,124","99,403","114,100","116,458","122,541","143,632","157,311","194,936","202,891","206,852","204,279","195,933","218,577","227,366","268,105","278,702","249,184","239,370","200,125","209,259","214,199","221,327","235,623","231,273","245,595","239,922","255,278","247,688","238,750","242,563","198,193","129,963","145,291","151,939","163,632","183,610","183,996","180,818","177,520","166,091","185,746","202,469","188,213","182,727","175,712","192,150","212,321","200,094","236,825","198,042","189,135","196,030","163,226","165,412","176,609","204,397","256,587","259,357","264,206","249,520","173,937","182,875","163,969","189,375","197,477","188,839","195,922","234,005","282,680","321,204","321,826","307,214","256,920","298,843","301,933","308,723","350,997","379,225","387,717","402,134","363,152","327,567","316,124","279,852","307,804","283,400"
E08000012,Liverpool,E01006525,Liverpool 049A,"60,685","63,200","61,986","63,536","65,939","67,195","62,639","66,235","62,228","61,576","64,568","61,914","71,243","71,337","71,068","70,357","70,446","72,576","77,299","82,258","81,740","82,507","85,281","94,014","99,000","99,885","106,622","115,306","142,823","146,903","161,272","162,723","179,383","182,930","185,906","196,298","184,036","186,996","193,994","193,625","189,100","203,192","204,438","222,389","230,245","221,583","231,666","232,261","233,245","241,713","241,278","236,788","237,389","235,167","249,429","205,333","212,091","221,125","212,857","223,625","234,864","228,000","241,214","229,063","208,571","222,167","230,950","231,495","228,570","221,775","215,933","249,797","250,737","243,433","243,736","222,997","224,842","224,083","222,500","242,115","245,456","253,372","257,148","256,575","256,276","260,236","270,787","275,458","279,831","281,088","291,233","294,227","300,833","305,890","294,083","285,140","280,481","284,231","281,750","295,143","308,357","323,567","335,038","334,503","345,959","349,000","344,889","356,996","375,042"
E08000012,Liverpool,E01006526,Liverpool 048C,"46,129","40,185","45,436","49,665","48,718","50,371","50,438","45,082","45,026","46,156","45,628","55,910","65,416","65,615","64,289","59,455","57,762","58,139","61,169","63,513","63,672","66,271","67,475","67,570","65,988","65,080","61,775","71,156","78,032","81,631","85,636","92,384","100,947","103,773","113,603","126,940","118,848","122,883","122,651","121,471","137,191","157,969","156,154","156,878","160,274","164,265","159,322","158,250","153,871","156,193","158,570","167,256","174,998","145,144","147,733","131,857","137,529","144,017","142,582","169,511","156,749","167,108","158,731","150,636","164,008","161,633","171,322","158,254","147,639","149,207","143,113","153,524","167,207","166,055","173,033","164,667","186,593","224,910","239,912","249,230","236,298","202,448","185,231","151,121","155,118","168,840","178,757","194,329","200,681","202,987","200,853","206,345","224,922","236,056","224,929","221,745","201,168","194,860","204,771","226,998","245,061","258,539","254,890","244,929","237,539","236,556","249,570","251,316","259,458"
E08000012,Liverpool,E01006527,Liverpool 053A,"54,630","57,283","51,746","59,500","63,816","58,679","58,538","57,310","51,931","52,247","54,168","57,584","58,939","62,375","61,730","76,967","77,728","71,787","70,689","61,316","70,085","84,656","103,744","103,334","95,287","95,853","91,618","93,677","102,342","101,578","108,871","117,685","124,805","133,278","135,648","149,279","161,629","163,250","152,419","151,895","206,688","229,934","216,071","212,768","191,415","172,132","201,548","197,947","195,128","198,895","170,375","171,533","174,269","167,045","170,286","155,813","151,611","151,944","164,803","185,943","198,179","199,882","197,670","182,428","151,739","145,770","137,882","158,943","171,204","177,950","185,646","187,827","179,861","178,014","182,533","184,896","211,734","236,820","245,983","257,533","243,558","224,863","200,518","227,014","219,410","222,148","225,913","205,039","235,007","220,964","240,339","240,982","247,482","255,230","253,043","257,576","251,029","252,053","254,059","251,250","247,808","284,088","314,432","316,413","319,113","316,609","285,044","314,836","357,585"
E08000012,Liverpool,E01006528,Liverpool 052C,"41,983","43,322","42,932","46,421","54,412","56,829","51,213","52,770","59,098","55,826","64,569","66,618","59,246","60,555","57,293","51,435","52,253","53,483","59,520","56,625","57,848","62,151","59,485","70,959","72,025","73,963","78,652","78,975","85,765","83,366","86,684","102,631","105,032","124,519","136,665","140,278","151,881","148,092","147,895","144,768","145,138","152,468","156,064","165,439","190,722","179,571","178,447","169,643","167,422","172,882","169,190","178,240","155,945","152,716","158,964","156,045","160,615","175,679","177,229","169,788","167,314","138,188","136,292","136,250","143,204","144,763","154,068","147,624","143,306","138,494","126,329","142,474","155,752","174,141","200,376","214,998","210,715","207,868","229,964","252,524","249,636","244,401","223,256","212,428","224,953","229,332","223,778","209,487","189,595","193,862","245,895","251,548","285,423","274,902","239,550","245,067","250,433","260,524","265,737","358,274","338,221","341,306","358,423","298,739","297,969","286,152","272,366","273,392","278,385"
E08000012,Liverpool,E01006529,Liverpool 048D,"45,964","44,868","41,073","43,890","44,707","44,670","47,340","47,535","48,351","46,967","46,122","46,511","46,411","51,801","54,939","56,154","57,598","56,942","57,041","58,564","59,290","57,981","61,371","63,551","68,002","71,173","72,058","75,638","81,135","83,371","89,156","99,269","115,681","118,091","122,120","125,746","129,804","166,850","166,693","160,789","157,792","153,064","155,898","156,618","160,523","160,977","163,298","169,865","169,364","174,051","174,354","170,973","170,389","154,188","145,143","157,500","174,214","180,437","176,558","171,993","164,374","160,418","159,964","166,063","161,131","160,927","157,115","145,440","139,431","146,688","152,800","157,719","170,559","173,288","163,922","169,061","166,668","165,786","177,064","172,396","174,473","181,628","179,139","181,238","194,337","183,927","185,825","195,239","194,241","200,429","202,429","202,040","209,220","214,778","218,880","221,333","223,833","229,885","239,167","247,821","240,750","238,084","254,928","265,309","268,794","281,052","273,331","274,839","281,251"
E08000012,Liverpool,E01006530,Liverpool 055A,"54,314","55,540","53,872","56,439","55,937","55,048","56,786","57,286","58,080","59,900","57,799","58,216","58,249","56,567","62,721","62,738","65,431","65,228","63,385","66,148","66,691","69,710","72,786","75,698","81,535","84,253","86,025","86,881","89,581","95,699","103,641","123,950","137,096","136,458","140,603","143,753","160,220","166,262","168,377","140,831","119,444","117,691","119,834","132,156","149,053","152,428","152,303","155,993","149,556","152,462","158,818","150,556","171,125",:,"157,000","160,555","145,555","150,996","164,559","164,265","170,494","170,528","154,653","156,182","151,056","147,639","153,963","146,597","146,950","146,517","146,023","158,932","161,111","161,154","160,538","154,700","161,264","163,787","163,442","173,117","177,667","181,135","187,843","189,790","178,780","176,117","176,286","174,120","193,833","195,613","197,791","184,450","183,972","189,190","184,708","207,719","196,533","183,333","196,548","208,228","214,816","235,102","246,830","254,875","263,413","265,566","262,027","250,741","252,110"
E08000012,Liverpool,E01006531,Liverpool 055B,"65,338","69,829","70,519","55,096","59,025","57,790","57,850","62,377","60,621","62,842","62,371","71,782","71,683","71,058","72,774","64,281","66,665","69,606","71,592","73,529","80,317","84,242","85,256","84,636","81,444","88,952","99,824","111,798","110,891","114,995","116,768","113,300","127,974","136,357","149,091","170,303","181,696","198,673","199,853","195,033","199,906","189,299","186,999","197,131","182,905","179,104","184,278","186,750","188,412","205,526","197,579","190,447","192,343","172,477","157,688","167,121","160,059","178,994","174,744","175,525","183,908","156,413","174,400","171,118","168,436","174,072","153,549","159,090","158,000","157,386","158,021","150,569","154,022","160,405","165,647","179,568","181,356","180,193","188,840","191,042","197,628","197,628","193,693","193,033","202,232","214,195","213,434","217,216","212,827","197,412","208,124","211,388","213,812","215,146","209,290","222,823","228,907","238,212","252,121","249,925","257,467","265,928","262,055","264,661","275,967","282,167","302,340","322,528","322,850"
E08000012,Liverpool,E01006532,Liverpool 047A,"142,238","136,468","122,668","117,578","124,084","128,235","125,129","120,281","118,437","117,068","127,467","141,631","135,242","135,565","128,723","127,638","141,342","141,034","153,866","159,893","152,338","175,539","183,178","192,128","224,664","216,560","256,611","273,148","292,807","305,508","285,147","282,287","274,887","277,131","246,968","267,387","289,758","302,275","328,338","349,150","293,300","303,692","341,289","329,674","354,545","405,206","426,214","444,530","450,627","484,760","454,597","462,917","456,833","274,429","255,408","276,450","268,314","277,145","274,895","311,363","384,427","379,595","419,198","414,211","362,528","358,333","313,461","312,950","316,359","293,568","287,354","273,818","282,077","314,029","317,455","353,279","384,448","414,316","463,869","463,166","450,545","431,341","405,045","381,975","373,378","367,202","356,739","342,636","385,794","411,243","418,064","433,455","404,561","389,644","387,773","440,217","486,579","500,053","514,789","512,217","536,605","548,364","567,800","543,556","566,300","565,789","569,079","614,000","578,864"
E08000012,Liverpool,E01006533,Liverpool 055C,"79,205","61,056","67,720","69,379","68,326","69,019","72,211","70,728","78,632","74,860","68,664","78,613","80,290","86,124","86,822","78,210","75,420","84,772","89,136","97,439","96,821","101,417","100,436","103,861","111,915","113,417","123,474","127,346","124,965","127,156","122,005","116,507","132,050","122,650","147,760","149,708","145,962","170,300","162,750","203,571","189,150","200,979","198,306","190,528","279,637","284,744","262,584","270,573","216,440","210,109","244,450","209,611","239,125","223,375","201,313","183,571","190,842","188,527","181,200","173,389","154,216","154,781","150,125","170,750","203,292","238,346","229,893","234,633","223,318","194,875","197,636","175,682","169,961","134,421","158,232","169,045","175,498","193,895","193,278","175,583","179,913","190,161","187,715","197,175","200,273","186,900","188,267","213,929","214,500","213,548","210,575","189,167","171,625","187,778","191,931","191,021","186,200","193,191","196,167","228,536","240,500","230,833","245,694","212,866","213,473","258,044","235,006","347,545","363,503"
E08000012,Liverpool,E01006534,Liverpool 054A,"84,952","91,838","91,369","84,604","85,673","76,673","71,003","71,325","71,131","73,767","81,807","87,172","95,616","95,627","91,435","81,691","71,666","70,665","69,483","77,389","108,286","135,685","152,931","147,582","139,624","129,472","108,411","105,297","107,533","97,330","103,259","115,488","126,372","134,229","138,670","143,168","147,300","157,823","168,763","175,663","169,345","162,313","157,286","176,500","194,786","194,026","199,927","181,024","161,642","162,730","167,778","164,455","169,250","151,500","154,564",:,"201,921","200,405","193,958","183,403","184,147","169,683","169,999","163,071","167,734","174,583","185,793","201,541","169,595","159,842","149,858","155,856","156,861","179,543","184,078","192,829","259,597","328,658","394,109","384,481","399,284","393,846","371,233","376,899","378,399","351,314","353,729","343,490","266,473","250,715","219,190","212,058","245,998","252,747","276,825","277,996","240,746","206,957","217,111","217,789","270,813","319,293","313,623","352,795","377,813","383,880","432,243","447,523","421,707"
E08000012,Liverpool,E01006535,Liverpool 054B,"46,667","44,561","46,408","41,968","56,044","57,641","54,106","53,014","49,613","46,598","49,886","56,496","48,520","47,381","46,663","54,214","59,594","67,745","66,262","68,265","67,343","63,539","64,203","73,290","69,676","79,121","92,883","125,025","168,735","189,911","206,905","208,096","186,638","166,716","138,669","146,315","154,025","192,945","181,725","172,831","169,069","144,823","158,698","165,000","167,765","157,966","142,970","157,954","159,879","164,832","173,273","159,573","170,794","157,444","155,750","144,917","136,086","153,100","160,019","159,488","166,604","148,269","138,591","133,500","138,679","135,500","153,083","165,292","171,086","165,746","144,389","141,314","138,318","155,636","157,224","163,656","170,036","162,217","227,263","237,972","231,300","229,548","201,441","210,320","201,633","197,517","200,368","193,802","192,976","191,889","188,512","189,222","197,207","201,309","198,324","196,964","203,919","207,996","215,197","214,747","351,929","405,629","402,649","453,181","483,380","491,956","560,273","540,574","484,156"
E08000012,Liverpool,E01006536,Liverpool 054C,"38,533","36,991","33,434","37,988","40,102","39,320","40,970","39,163","40,656","41,552","38,630","40,125","37,002","37,202","39,991","39,999","41,649","41,856","43,492","43,745","43,042","45,396","44,845","47,376","56,933","55,770","56,337","51,738","49,598","54,483","59,753","75,642","80,642","89,606","94,219","95,846","95,424","94,964","104,054","111,925","125,093","126,275","131,535","132,707","114,515","119,930","113,098","109,854","120,650","117,656","143,399","154,661","154,746","156,569","140,806","117,515","115,925","112,892","122,586","128,486","126,972","126,516","125,012","121,986","119,688","113,171","110,275","106,200","108,900",:,"123,800","123,800","123,035","122,621","126,474","122,416","122,520","123,979","122,822","122,253","125,229","128,357","130,650","139,289","142,474","142,625","138,185","142,426","141,113","144,690","151,800","152,650","161,250","158,813","153,569","148,117","149,324","152,568","162,259","168,559","168,676","160,062","165,182","163,002","168,079","186,855","188,486","186,810","187,589"
E08000012,Liverpool,E01006537,Liverpool 055D,"72,401","78,314","73,261","76,634","76,859","81,540","83,620","76,521","88,722","75,318","75,128","69,710","60,806","67,215","58,855","63,939","69,336","67,828","70,489","73,159","89,642","77,653","90,597","93,359","84,071","98,558","86,503","96,682","99,110","86,397","96,282","97,784","115,841","119,842","122,001","123,661","127,067","132,072","134,961","141,539","144,852","148,983","156,728","165,006","161,266","160,586","159,786","150,462","149,286","145,676","144,370","133,779","134,254","120,574","108,830","122,917","117,679","123,357","129,533","129,727","150,469","148,067","143,313","149,500","141,139","136,132","137,406","118,095","120,896","117,425","115,515","117,058","117,232","118,809","120,284","119,453","115,926","120,060","124,592","128,122","131,558","139,860","142,584","165,306","179,489","164,504","161,205","153,341","141,839","166,041","163,838","162,282","165,137","159,731","168,834","173,406","174,806","167,975","174,800","183,416","185,333","181,966","177,253","194,387","198,999","204,293","201,865","172,609","151,265"
E08000012,Liverpool,E01006538,Liverpool 055E,"57,313","58,250",:,"49,994","58,104","56,408","56,900","59,953","55,376","56,606","59,144","59,261","60,797","60,716","61,989","62,060","63,105","62,640","62,019","61,724","63,410","60,884","62,003","62,145","71,439","84,346","93,240","102,317","103,384","102,817","101,348","93,458","91,686","99,803","111,072","119,373","134,147","138,850","140,658","150,919","146,630","149,685","167,404","166,554","165,188","159,535","158,085","158,366","164,418","177,722","183,750","193,000","202,182","198,000","165,143","132,000","152,857","152,857","159,167","182,906","160,063","159,078","161,264","155,269","148,056","132,500","130,700","130,864","140,357","143,955","141,458","146,545","136,015","143,686","147,671","143,314","153,427","150,500","141,996","148,934","144,648","161,134","165,948","170,372","184,727","174,518","173,089","168,417","167,673","177,250","183,147","195,025","195,275","185,972","205,281","218,237","224,570","238,273","252,643","260,833","231,500","226,778","218,923","202,929","208,077","200,893","190,278","165,050","193,271"
E08000012,Liverpool,E01006539,Liverpool 047B,"85,383","82,349","93,427","88,606","88,460","99,945","83,126","79,516","84,401","83,414","96,121","97,108","101,536","101,239","93,428","114,890","130,599","132,195","129,929","133,641","120,781","118,086","131,747","111,166","110,375","120,558","140,257","159,313","170,318","161,298","125,563","139,615","154,098","176,114","224,962","247,322","228,949","246,447","249,698","249,017","311,938","243,908","264,400","255,728","287,664","299,585","275,773","282,916","275,579","261,190","263,125","301,150","278,444","250,692","235,500","204,107","180,765","196,333","248,071","305,283","331,784","332,423","333,871","304,790","304,726","308,930","282,958","276,295","250,167",:,"239,875","237,576","238,977","259,990","279,010","292,375","315,688","276,877","276,460","294,473","314,719","338,473","319,767","311,650","261,350","238,068","288,617","311,207","330,850","367,313","361,224","407,169","420,250","385,763","376,632","347,160","391,477","363,178","407,421","424,076","391,500","450,958","444,038","421,196","410,288","412,019","378,800","461,481","485,021"
E08000012,Liverpool,E01006540,Liverpool 024A,"22,450","22,641","20,711","21,099","20,366","21,550","21,297","20,043","21,169","21,034","22,451","22,027","20,448","19,751","19,976","20,681","23,792","22,750","22,213","21,257","20,925","22,432","22,073","25,382","25,495","25,314","26,798","24,809","25,180","24,695","25,244","26,516","30,860","35,925","40,412","49,144","52,679","54,001","56,308","53,351","55,962","61,854","62,032","66,127","66,330","72,975","74,320","75,265","77,785","72,811","72,154","74,068","72,050","73,092","81,659","86,677","90,656","90,800","86,681","84,971","85,852","85,500","82,045","80,338","83,939","82,042","78,987","77,582","71,083","63,853","59,496","58,123","52,736","47,645","50,777","51,897","53,425","55,237","52,845","49,559","51,309","48,309","48,646","57,947","52,668","52,305","55,932","48,571","50,386","53,875","52,727","53,440","52,429","58,000","62,971","63,618","66,576","58,860","58,235","59,108","66,684","79,352","78,440","92,400","88,848","86,462","83,283","75,962","80,165"
